,tikr,entrydate,exitdate,change1,change0,totalchange,changediff,entry,exit,pnl
0,NAUKRI.NS,2020-10-14,2020-10-15,0.04502,0.02881,0.08027,0.01621,3740.55,3767.0,983.98
0,JSWSTEEL.NS,2020-10-16,2020-10-19,0.06688,0.0031,0.07239,0.06378,311.05,314.2,1444.25
0,COALINDIA.NS,2020-10-19,2020-10-20,0.02999,0.00685,0.03724,0.02314,104.4,104.77,457.66
0,LT.NS,2020-10-20,2020-10-21,0.01595,0.00984,0.03175,0.00611,899.88,907.38,1178.42
1,DLF.NS,2020-10-21,2020-10-22,0.02777,0.0167,0.0577,0.01107,172.1,173.75,1364.74
7,SRTRANSFIN.NS,2020-10-22,2020-10-23,0.05126,0.01109,0.06372,0.04017,692.3,696.46,828.67
3,TATAMOTORS.NS,2020-10-23,2020-10-26,0.02622,0.02495,0.0558,0.00127,137.0,138.4,1458.94
1,PFIZER.NS,2020-10-26,2020-10-27,0.01405,0.01136,0.03572,0.00269,5191.8,5220.0,743.72
3,LT.NS,2020-10-27,2020-10-28,0.03173,0.01115,0.04816,0.02058,963.3,971.15,1150.52
0,APLLTD.NS,2020-10-29,2020-10-30,0.00716,0.00245,0.01013,0.00471,970.1,976.5,917.92
0,ADANIENT.NS,2020-10-30,2020-11-02,0.03284,0.03152,0.07964,0.00132,339.7,339.1,-338.21
4,SBIN.NS,2020-11-03,2020-11-04,0.04438,0.03593,0.08322,0.00845,204.75,203.5,-989.23
6,SUNPHARMA.NS,2020-11-04,2020-11-05,0.03924,0.03451,0.08159,0.00473,500.28,503.6,921.95
6,INDUSINDBK.NS,2020-11-05,2020-11-06,0.05361,0.04864,0.13129,0.00497,714.4,714.75,-0.51
11,RBLBANK.NS,2020-11-06,2020-11-09,0.0401,0.00514,0.04714,0.03496,193.25,195.0,1283.95
1,CUB.NS,2020-11-09,2020-11-10,0.10288,0.0322,0.15401,0.07068,183.85,181.3,-2153.72
10,INDIGO.NS,2020-11-10,2020-11-11,0.09155,0.04771,0.14321,0.04384,1627.55,1612.05,-1498.93
3,RECLTD.NS,2020-11-11,2020-11-12,0.04118,0.02423,0.07558,0.01695,106.95,106.53,-662.24
0,DEEPAKNTR.NS,2020-11-12,2020-11-13,0.02881,0.01459,0.05259,0.01422,819.45,819.45,-73.01
1,NAUKRI.NS,2020-11-13,2020-11-17,0.04981,0.0374,0.08934,0.01241,3859.95,3847.0,-579.08
3,IDEA.NS,2020-11-17,2020-11-18,0.06897,0.02353,0.09842,0.04544,9.3,9.2,-1685.85
6,FEDERALBNK.NS,2020-11-18,2020-11-19,0.06632,0.02471,0.09725,0.04161,61.9,61.35,-1405.61
0,BATAINDIA.NS,2020-11-19,2020-11-20,0.04805,0.03926,0.10389,0.00879,1499.45,1502.0,180.99
1,MRF.NS,2020-11-20,2020-11-23,0.02913,0.02386,0.06579,0.00527,79066.75,81157.28,4103.22
0,COFORGE.NS,2020-11-23,2020-11-24,0.02958,0.01012,0.04546,0.01946,2424.65,2433.75,490.15
5,SRTRANSFIN.NS,2020-11-24,2020-11-25,0.05597,0.04363,0.12384,0.01234,1025.01,1030.58,739.21
2,PNB.NS,2020-11-25,2020-11-26,0.03125,0.01165,0.05129,0.0196,31.35,31.4,165.23
1,MANAPPURAM.NS,2020-11-26,2020-11-27,0.03198,0.02541,0.06452,0.00657,172.0,173.75,1451.94
1,L&TFH.NS,2020-11-27,2020-12-01,0.10916,0.05322,0.17944,0.05594,80.78,80.22,-1112.89
5,MOTHERSUMI.NS,2020-12-01,2020-12-02,0.0618,0.03387,0.09953,0.02793,157.2,155.6,-1599.35
6,TATACHEM.NS,2020-12-02,2020-12-03,0.05532,0.03277,0.11105,0.02255,427.35,440.0,4364.97
7,MARUTI.NS,2020-12-03,2020-12-04,0.07391,0.01476,0.09804,0.05915,7739.1,7798.0,1046.29
4,TATACHEM.NS,2020-12-04,2020-12-07,0.07795,0.06564,0.19891,0.01231,490.9,505.25,4315.9
2,GLENMARK.NS,2020-12-07,2020-12-08,0.05733,0.03178,0.10589,0.02555,532.1,534.95,729.66
2,CANBK.NS,2020-12-08,2020-12-09,0.16695,0.05576,0.23408,0.11119,137.0,141.25,4578.56
2,PVR.NS,2020-12-09,2020-12-10,0.07274,0.03019,0.10891,0.04255,1488.1,1488.0,-84.13
0,HINDUNILVR.NS,2020-12-10,2020-12-11,0.02541,0.01425,0.04137,0.01116,2350.45,2366.25,937.12
1,MARICO.NS,2020-12-11,2020-12-14,0.02673,0.01444,0.05221,0.01229,410.3,413.26,1009.3
1,NMDC.NS,2020-12-14,2020-12-15,0.0523,0.02827,0.08761,0.02403,109.86,110.33,567.52
5,ZEEL.NS,2020-12-15,2020-12-16,0.07707,0.01269,0.0907,0.06438,232.0,232.0,-74.02
5,PAGEIND.NS,2020-12-16,2020-12-17,0.0511,0.02626,0.09616,0.02484,25757.21,25817.35,285.44
3,PAGEIND.NS,2020-12-17,2020-12-18,0.05232,0.0511,0.12968,0.00122,27104.73,26972.41,-870.94
2,LTTS.NS,2020-12-18,2020-12-21,0.12291,0.06516,0.19457,0.05775,2203.65,2209.15,299.99
0,MPHASIS.NS,2020-12-23,2020-12-24,0.10774,0.02268,0.14349,0.08506,1575.65,1572.8,-343.72
4,VEDL.NS,2020-12-24,2020-12-28,0.08242,0.0816,0.2048,0.00082,162.85,162.45,-441.39
9,TATAMOTORS.NS,2020-12-28,2020-12-29,0.05911,0.03989,0.12477,0.01922,186.35,187.9,1173.7
2,IGL.NS,2020-12-29,2020-12-30,0.04295,0.00184,0.04581,0.04111,511.1,516.5,1508.15
1,GMRINFRA.NS,2020-12-30,2020-12-31,0.03788,0.01734,0.06103,0.02054,27.4,26.95,-2536.21
0,HINDPETRO.NS,2020-12-31,2021-01-01,0.0067,0.00487,0.0125,0.00183,217.9,219.25,854.77
0,CHOLAFIN.NS,2021-01-01,2021-01-04,0.06113,0.00717,0.07285,0.05396,410.19,413.83,1258.18
4,CHOLAFIN.NS,2021-01-04,2021-01-05,0.07755,0.06113,0.14585,0.01642,442.0,430.78,-3876.42
3,LTI.NS,2021-01-05,2021-01-06,0.07386,0.03948,0.12422,0.03438,4129.35,4147.0,562.48
3,SRTRANSFIN.NS,2021-01-06,2021-01-07,0.07454,0.03474,0.11478,0.0398,1192.32,1195.11,277.5
1,IDFCFIRSTB.NS,2021-01-07,2021-01-08,0.10628,0.04282,0.1776,0.06346,45.8,46.8,3200.86
7,UPL.NS,2021-01-08,2021-01-11,0.04383,0.02138,0.06765,0.02245,503.65,506.0,626.26
5,TATAMOTORS.NS,2021-01-11,2021-01-12,0.11355,0.00712,0.12758,0.10643,220.65,227.0,4242.82
0,ASHOKLEY.NS,2021-01-12,2021-01-13,0.03976,0.03679,0.09231,0.00297,121.6,123.1,1776.92
2,ITC.NS,2021-01-13,2021-01-14,0.02326,0.01951,0.04775,0.00375,206.36,207.09,456.68
0,BPCL.NS,2021-01-14,2021-01-15,0.03594,0.02321,0.06114,0.01273,405.59,408.16,876.85
0,APOLLOTYRE.NS,2021-01-21,2021-01-22,0.07628,0.06628,0.1992,0.01,217.3,220.0,1788.92
0,BAJAJ-AUTO.NS,2021-01-22,2021-01-25,0.10429,0.01629,0.12139,0.088,4089.5,4150.0,2164.3
2,ICICIBANK.NS,2021-02-01,2021-02-02,0.12439,0.01656,0.15225,0.10783,603.8,613.0,2207.52
4,LALPATHLAB.NS,2021-02-02,2021-02-03,0.06121,0.02169,0.08359,0.03952,2430.73,2431.83,-5.86
0,M&MFIN.NS,2021-02-03,2021-02-04,0.06975,0.06566,0.17871,0.00409,184.05,184.0,-113.76
1,BANKBARODA.NS,2021-02-04,2021-02-05,0.0642,0.03282,0.10717,0.03138,82.05,83.7,2942.07
4,SBIN.NS,2021-02-05,2021-02-08,0.10701,0.057,0.17257,0.05001,393.1,398.0,1797.71
0,AUBANK.NS,2021-02-08,2021-02-09,0.05138,0.01757,0.0715,0.03381,1032.35,1039.8,1006.22
1,INDUSTOWER.NS,2021-02-09,2021-02-10,0.0573,0.01575,0.07385,0.04155,253.7,253.5,-191.19
1,MRF.NS,2021-02-10,2021-02-11,0.03607,0.03001,0.06804,0.00606,96970.6,96766.76,-495.3
0,DEEPAKNTR.NS,2021-02-11,2021-02-12,0.05423,0.03188,0.09564,0.02235,1129.45,1137.8,1036.49
2,PEL.NS,2021-02-15,2021-02-16,0.06503,0.05973,0.13179,0.0053,1842.45,1875.0,2562.5
0,BHEL.NS,2021-02-16,2021-02-17,0.02571,0.00258,0.02958,0.02313,39.9,40.0,301.88
1,BANKBARODA.NS,2021-02-18,2021-02-19,0.13599,0.05646,0.19434,0.07953,95.65,95.95,396.38
1,UPL.NS,2021-02-19,2021-02-22,0.02172,0.0038,0.02561,0.01792,552.8,556.0,793.17
0,JUBLFOOD.NS,2021-02-22,2021-02-23,0.05518,0.0168,0.07916,0.03838,3114.1,3128.0,593.21
0,BHEL.NS,2021-02-25,2021-02-26,0.09779,0.05528,0.17955,0.04251,47.15,46.0,-3731.0
0,SAIL.NS,2021-02-26,2021-03-01,0.04577,0.02521,0.08303,0.02056,76.55,77.5,1787.92
0,BHEL.NS,2021-03-02,2021-03-03,0.06045,0.02521,0.0952,0.03524,51.75,52.2,1230.5
5,IBULHSGFIN.NS,2021-03-03,2021-03-04,0.08297,0.02991,0.12934,0.05306,248.0,245.0,-1887.93
2,AUBANK.NS,2021-03-04,2021-03-05,0.05587,0.0429,0.10143,0.01297,1268.0,1274.0,633.99
1,LTI.NS,2021-03-10,2021-03-12,0.05966,0.00784,0.07297,0.05182,4128.95,4168.0,1331.84
0,SIEMENS.NS,2021-03-12,2021-03-15,0.0074,0.002,0.00979,0.0054,1919.2,1924.5,339.41
0,NMDC.NS,2021-03-15,2021-03-16,0.01298,0.01169,0.03234,0.00129,127.94,128.46,535.41
0,ITC.NS,2021-03-17,2021-03-18,0.01323,0.01168,0.02613,0.00155,210.6,213.0,1634.74
0,ITC.NS,2021-03-18,2021-03-19,0.03348,0.01323,0.05839,0.02025,217.65,219.0,856.11
0,ACC.NS,2021-03-22,2021-03-23,0.05983,0.01342,0.07562,0.04641,1846.01,1845.96,-77.02
1,NMDC.NS,2021-03-23,2021-03-24,0.02925,0.02078,0.05838,0.00847,131.95,131.0,-1153.12
0,GUJGASLTD.NS,2021-03-26,2021-03-30,0.01231,0.00117,0.01377,0.01114,518.15,524.0,1616.6
4,JSWSTEEL.NS,2021-03-30,2021-03-31,0.04998,0.01644,0.06791,0.03354,467.45,467.35,-106.11
4,ICICIPRULI.NS,2021-03-31,2021-04-01,0.03208,0.00255,0.03603,0.02953,445.6,447.45,549.41
3,PNB.NS,2021-04-01,2021-04-05,0.04229,0.01383,0.06029,0.02846,38.2,38.55,1300.39
2,JSWSTEEL.NS,2021-04-07,2021-04-08,0.04624,0.03855,0.10199,0.00769,562.3,572.0,2515.78
4,JSWSTEEL.NS,2021-04-08,2021-04-09,0.09212,0.04624,0.17691,0.04588,614.1,618.0,877.57
